StudyID,StudyPublicationDate,Instrument,Species,Status,Size (MB)
MTBLS336,23/06/16,NMR;UPLC-LTQ-MS,Laternula elliptica;Marseniopsis mollis;Liothyrella uva;Cucumaria georgiana;Yoldia eightsi;Paraceradocus,Public,5060.57
MTBLS337,07/11/16,NMR,Homo sapiens,Public,83.3
MTBLS338,30/09/16,UPLC-QTOF-MS;GC-Q-MS,Arabidopsis thaliana,Public,32907.53
MTBLS339,23/05/16,UPLC-LTQ-MS,Anopheles gambiae;Homo sapiens,Submitted,5.21
MTBLS340,31/08/16,NMR,Rattus norvegicus,Public,15.98
MTBLS341,15/07/16,UPLC-QTOF-MS;GC-Q-MS,Arabidopsis thaliana,Public,9661.82
MTBLS342,01/08/17,NMR,Scleractinian,Public,8.09
MTBLS343,03/08/17,UPLC-QTOF-MS,Lactuca sativa,Public,20.1
MTBLS344,01/05/17,GC-TOF-MS;UPLC-LTQ-MS,Pork and Beef minced meat,Submitted,0.4
MTBLS345,05/10/16,GC-Q-MS,Mus musculus;Food,Public,2998.31
MTBLS346,18/08/17,NMR,Vitis vinifera L.,Public,6.21
MTBLS347,31/08/16,NMR,Microbiota,Submitted,0.04
MTBLS348,31/05/16,No data supplied,,Dormant,156.09
MTBLS349,23/08/17,NMR,Rabbit,Public,10.07
MTBLS350,18/11/16,GC-TOF-MS,Panax ginseng,Public,636.64
MTBLS351,31/08/17,GCxGC-TOF-MS;UPLC-QTOF-MS,Homo sapiens,Public,11.85
MTBLS352,26/04/17,UPLC-QTOF-MS,Homo sapiens,Public,380842.15
MTBLS353,01/01/50,LC-MS;NMR,Homo sapiens;,Submitted,1440502.32
MTBLS354,11/08/16,UPLC-QTOF-MS,Homo sapiens,Public,69749.92
MTBLS355,17/07/17,DI-FT-ICR-MS;GC-TOF-MS,Arabidopsis thaliana,Public,5240.59
MTBLS356,06/09/17,NMR,Homo sapiens,Public,98.68
MTBLS357,01/05/17,No data supplied,,Dormant,33.04
MTBLS358,20/02/17,UPLC-LTQ-MS;DI-LTQ-MS,Homo sapiens,Public,1065.96
MTBLS359,16/02/17,LC-LTQ-MS,Salmonella Typhimurium DT104 strain 2576,Public,23912.35
MTBLS360,09/10/17,UPLC-LTQ-MS/MS,Trypanosoma brucei brucei;nil,Public,593.87
MTBLS361,09/10/17,NMR,Rattus norvegicus,Public,23.32
MTBLS362,22/12/16,LC-LTQ-MS/MS,Photinus pyralis;N/A,Public,1481.08
MTBLS363,13/10/17,GC-Q-MS,Agave americana;Arabidopsis thaliana,Public,834.6
MTBLS364,09/01/17,UPLC-QTOF-MS,Homo sapiens,In Review,48632.06
MTBLS365,,,,,
MTBLS366,31/10/16,DI-FT-ICR-MS,sea water,Public,1505.69
MTBLS367,16/10/17,NMR,Sus scrofa domesticus,Public,323.98
MTBLS368,09/09/16,HPLC-QTOF-MS;UPLC-TQ-MS/MS,Homo sapiens;Mus musculus;reference compound,Public,2743.77
MTBLS369,31/08/16,NMR,Homo sapiens,Submitted,0.32
MTBLS370,20/02/17,GC-LTQ-MS,Internal Standard;coculture;Staphylococcus aureus;Bos taurus;Standard;Candida albicans;Culture Media,Public,17049.77
MTBLS371,21/09/16,UPLC-LTQ-MS/MS;GC-Q-MS,Phoenix dactylifera,Submitted,1.04
MTBLS372,09/11/16,HPLC-QTOF-MS/MS,Fraxinus excelsior,Public,7886.26
MTBLS373,13/12/16,FIA-QTOF-MS,Escherichia coli,Public,1943445.92
MTBLS374,07/03/17,NMR,Homo sapiens,Public,375.4
MTBLS375,23/10/17,UPLC-LTQ-MS,Arabidopsis thaliana,Public,2781.12
MTBLS376,20/02/17,CE-TOF-MS,Mus musculus,Public,60898.2
MTBLS377,12/09/17,Insufficient data supplied,mus musculus,Submitted,0.06
MTBLS378,05/12/16,LC-LTQ-MS/MS,Mus musculus,Public,2928.93
MTBLS379,27/10/17,UPLC-QTOF-MS/MS,Apis cerana,Public,24143.43
MTBLS380,15/11/16,UPLC-QTOF-MS,Mus musculus,Public,7074.753
MTBLS381,24/10/16,UPLC-QTOF-MS,reference compound,Public,776.72
MTBLS382,27/10/17,NMR,Mus musculus,Public,22.81
MTBLS383,01/11/17,REI-QTOF-MS,Candida lusitaniae;Candida albicans;Candida krusei;Candida inconspicua;Candida tropicalis;Candida glabrata;Candida parapsilosis,Public,11308.38
MTBLS384,12/06/17,HPLC-LTQ-MS,Sus scrofa domesticus,Public,4608.39
MTBLS385,10/01/17,3D DESI imaging MS,Homo sapiens,Public,3438.22
MTBLS386,06/11/17,NMR,Homo sapiens,Public,26.86
MTBLS387,07/11/17,NMR,cellular organism,Public,8.01
MTBLS388,12/10/16,Insufficient data supplied,,Dormant,1.91
MTBLS389,12/01/18,UPLC-TOF-MS,Arabidopsis thaliana,In Review,110044.11
MTBLS390,01/12/16,GC-FID,Mus musculus,Public,180.16
MTBLS391,27/10/17,HPLC-LTQ-MS;UPLC-LTQ-MS;UPLC-QTOF-MS/MS,reference compound,Public,278.53
MTBLS392,14/11/17,GCxGC-TOF-MS,Vitis vinifera,Public,48816
MTBLS393,16/11/17,GC-TOF-MS,E. Coli,Public,4527
MTBLS394,27/10/17,HPLC-QTOF-MS;UPLC-QTOF-MS/MS;HPLC-LTQ-MS;UPLC-LTQ-MS,reference compound,Public,36181.07
MTBLS395,27/10/17,NMR,Homo sapiens,In Review,547.79
MTBLS396,07/11/17,HPLC-QTOF-MS;UPLC-QTOF-MS/MS;HPLC-LTQ-MS;UPLC-LTQ-MS,Mus musculus,Public,23720.37
MTBLS397,07/11/17,UPLC-LTQ-MS,Mus musculus;reference compound,Public,4373.17
MTBLS398,07/11/17,HPLC-LTQ-MS;UPLC-LTQ-MS;UPLC-QTOF-MS/MS,reference compound,Public,14609.22
MTBLS399,08/11/16,NMR,Radix,Public,6.66
MTBLS400,01/01/17,MAS-NMR,Mus musculus,Submitted,71.45
MTBLS401,23/08/17,HPLC-LTQ-MS,Homo sapiens,Public,293713.88
MTBLS402,30/10/18,UPLC-LTQ-MS,Homo sapiens,Submitted,
MTBLS403,23/03/17,UPLC-QTOF-MS,Camellia sinensis,Public,95.81
MTBLS404,20/01/17,UPLC-LTQ-MS,Homo sapiens,Public,34201.75
MTBLS405,14/11/17,HPLC-TQ-MS/MS,Homo sapiens,Submitted,881.03
MTBLS406,16/11/17,UPLC-QTOF-MS/MS,Lysiphlebia japonica,Dormant,8.84
MTBLS407,16/11/17,UPLC-QTOF-MS,Aphis gossypii,Dormant,8.5
MTBLS408,22/08/17,UPLC-QTOF-MS,Homo sapiens,Public,215246.53
MTBLS409,12/01/18,UPLC-QTOF-MS,Lysiphlebia japonica,In Curation,7708.55
MTBLS410,12/01/18,UPLC-QTOF-MS,Aphis gossypii,In Review,7879.35
MTBLS411,21/11/17,GC-TOF-MS,Bos taurus,Submitted,9.55
MTBLS412,18/12/17,GC-Q-MS,Homo sapiens,Public,61.36
MTBLS413,01/12/16,UPLC-LTQ-MS,Standard;solvent;Homo sapiens,Public,22120.99
MTBLS414,20/12/16,UPLC-QTOF-MS,Homo sapiens,Public,24387.3
MTBLS415,21/03/17,3D DESI imaging MS,Homo sapiens,Public,12442.77
MTBLS416,11/05/17,Insufficient data supplied,,Dormant,0.66
MTBLS417,01/01/17,UPLC-QTOF-MS/MS,,Submitted,10369.72
MTBLS418,22/02/17,UPLC-QTOF-MS,Mus musculus,In Curation,19716.64
MTBLS419,02/03/17,NMR,Homo sapiens,Public,88.67
MTBLS420,12/02/17,GC-QIT-MS,Homo sapiens,Submitted,618.68
MTBLS421,20/02/17,NMR,Homo sapiens,Submitted,0.04
MTBLS422,03/03/17,NMR,Mus musculus,Public,38.95
MTBLS423,30/09/17,UPLC-QTOF-MS,Homo sapiens,In Curation,2324.34
MTBLS424,02/03/17,NMR,Homo sapiens,Public,532.95
MTBLS425,02/08/17,NMR,Homo sapiens,Public,74.73
MTBLS426,14/12/17,UPLC-LTQ-MS/MS,Papio hamadryas,In Review,1612.66
MTBLS427,14/02/17,SPE-IMS-MS,Homo sapiens,Public,13962.3
MTBLS428,23/05/17,LC-LTQ-MS/MS,sea water;reference compound,Public,55.5
MTBLS429,31/03/17,UPLC-TQ-MS/MS,Jacobaea,In Review,19.29
MTBLS430,01/02/18,NMR,Homo sapiens,Submitted,133.25
MTBLS431,15/03/17,NMR,Pseudomonas,Submitted,4.8
MTBLS432,14/07/17,UPLC-IT-TOF-MS/MS,Mus musculus,Public,1671.8
MTBLS433,04/05/17,UPLC-QTOF-MS/MS,Olea europaea,Public,204.14
MTBLS434,02/03/17,UPLC-TQ-MS/MS,Saccharomyces cerevisiae,Submitted,5.89
MTBLS435,24/04/17,UPLC-QTOF-MS,Macleaya cordata,Public,10676.25
MTBLS436,31/12/17,HPLC-LTQ-MS,Bos taurus,Submitted,90919.12
MTBLS437,30/08/17,GC-QTOF-MS,Oryza sativa,Public,934.74
MTBLS438,25/05/17,UPLC-QTOF-MS,Mice,Submitted,0.05
MTBLS439,29/03/17,UPLC-QTOF-MS,Macleaya cordata,Dormant,5354.42
MTBLS440,,,,,
MTBLS441,25/08/17,UPLC-QTOF-MS,Arabidopsis thaliana,Public,13516.58
MTBLS442,,,,,
MTBLS443,15/08/17,HPLC-LTQ-MS,Leishmania infantum;Leishmania mexicana species complex,Submitted,0.08
MTBLS444,01/09/17,NMR,Homo sapiens;,Submitted,37.43
MTBLS445,01/09/17,UPLC-LTQ-MS,Espeletia,In Curation,10588.07
MTBLS446,16/06/17,Insufficient data supplied,,Dormant,3704.45
MTBLS447,05/05/17,GCxGC-TOF-MS,Solanum lycopersicum,Submitted,698.08
MTBLS448,01/12/17,GC-TOF-MS,Oryza sativa,Submitted,0.82
MTBLS449,01/01/18,Insufficient data supplied,,In Curation,88629.76
MTBLS450,18/01/18,UPLC-TQ-MS,Arabidopsis thaliana,Submitted,258.8
MTBLS451,31/12/17,LC-LTQ-MS/MS,Japanese sake,In Review,19855.27
MTBLS452,31/12/17,UPLC-LTQ-MS/MS,Trypanosoma brucei;reference compound,In Review,20424.56
MTBLS453,30/05/17,NMR,Rattus norvegicus,Submitted,135.26
MTBLS454,18/07/17,HPLC-QTOF-MS,E. coli,Public,0.59
MTBLS455,01/09/17,NMR,Homo sapiens,In Curation,49.41
MTBLS456,31/07/17,UPLC-QTOF-MS,Bos taurus,Submitted,441.97
MTBLS457,09/01/18,GC-Q-MS,endometabolome,Public,8376.36
MTBLS458,15/07/17,CE-TOF-MS,Homo sapiens,Submitted,0.18
MTBLS459,07/06/17,UPLC-LTQ-MS/MS,Trypanosoma brucei,Public,170204.95
MTBLS460,31/12/17,UPLC-QTOF-MS/MS,Brassica oleracea var. italica,In Review,6795.28
MTBLS461,23/05/17,LC-FT-ICR-MS;LC-LTQ-FT-MS/MS;LC-TQ-MS,sea water,Public,3114.06
MTBLS462,07/11/17,UPLC-LTQ-MS/MS,Mus musculus;reference compound,Public,6152.94
MTBLS463,01/09/17,NMR,Pseudomonas fluorescens,In Curation,24.05
MTBLS464,16/06/17,UPLC-LTQ-MS/MS,Escherichia coli,Public,112209.9
MTBLS465,24/05/18,UPLC-QTOF-MS,Homo sapiens,Submitted,74522.07
MTBLS466,02/06/17,ISACreator itself submitted,,,0.02
MTBLS467,,,,,
MTBLS468,,,,,
MTBLS469,29/05/18,HPLC-LTQ-MS,Homo sapiens,Submitted,3996.24
MTBLS470,05/06/18,UPLC-QTOF-MS,Homo sapiens,Submitted,66.27
MTBLS471,07/06/17,UPLC-LTQ-MS/MS,Acromyrmex octospinosus,Submitted,13793.55
MTBLS472,23/06/17,UPLC-QTOF-MS,Mus musculus,Public,8849.33
MTBLS473,08/06/18,HPLC-LTQ-MS,Homo sapiens,Submitted,51995.5
MTBLS474,16/06/17,Insufficient data supplied,,Dormant,0.56
MTBLS475,01/01/18,UPLC-QTOF-MS/MS;NMR,Homo sapiens,Submitted,26.89
MTBLS476,30/06/17,LC-LTQ-MS,Homo sapiens,Submitted,147598.76
MTBLS477,,,,,
MTBLS478,08/01/18,UPLC-QTOF-MS/MS,Populus tremula x Populus tremuloides,Public,13503.43
MTBLS479,14/12/17,UPLC-LTQ-MS/MS,Salix,Public,30715.23
MTBLS480,19/06/18,GC-Q-MS,Mus musculus,Submitted,93.01
MTBLS481,20/09/17,GC-TOF-MS,Rhizobium,Submitted,851.01
MTBLS482,04/07/17,In vivo MRS,Rattus norvegicus,In Review,2.44
MTBLS483,08/09/17,UPLC-QTOF-MS,Rattus norvegicus,In Curation,3591.38
MTBLS484,06/07/17,UPLC-QTOF-MS,Nepenthes ampullaria;Nepenthes rafflesiana;Nepenthes x hookeriana,Submitted,1042.25
MTBLS485,01/07/18,Insufficient data supplied,,Submitted,0.08
MTBLS486,01/10/17,Insufficient data supplied,soybean,Submitted,0.07
MTBLS487,31/08/17,3D MALDI imaging MS,Mus musculus,In Review,209.73
MTBLS488,31/01/18,UPLC-LTQ-MS,bovine,In Curation,153161.23
MTBLS489,,,,,
MTBLS490,01/01/18,HPLC-LTQ-MS,flower,Submitted,0.11
MTBLS491,01/09/17,LC-LTQ-MS,Leishmania mexicana,Submitted,63.73
MTBLS492,15/01/18,UPLC-QTOF-MS/MS;UPLC-LTQ-MS/MS,mixed community,Submitted,25042.99
MTBLS493,31/10/17,UPLC-QTOF-MS,Cricetulus griseus,In Review,9532.95
MTBLS494,01/08/17,UPLC-QTOF-MS,Platycodon grandiflorum,Submitted,2626.51
MTBLS495,21/12/17,UPLC-QTOF-MS/MS,Mus musculus,Submitted,180.1
MTBLS496,28/08/17,UPLC-QTOF-MS,Campylobacter jejuni subsp. jejuni NCTC 11168,Submitted,4393.56
MTBLS497,01/08/18,GC-TOF-MS,Sorbent blank;Pseudomonas aeruginosa;Klebsiella pneumoniae;Staphylococcus aureus;Nutrient broth;Escherichia coli;Artificial sputum medium,Submitted,1588.45
MTBLS498,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS499,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS500,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS501,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS502,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS503,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS504,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS505,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS506,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS507,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS508,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS509,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS510,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS511,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS512,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS513,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS514,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS515,31/12/17,,Homo sapiens,Submitted,0.02
MTBLS516,31/01/18,NMR,Rattus rattus,Submitted,192.67
MTBLS517,01/12/17,HPLC-LTQ-MS,Macaca mulatta;Plasmodium cynomolgi,Public,653897.02
MTBLS518,25/09/17,HPLC-LTQ-MS,Homo sapiens;Macaca mulatta;Plasmodium cynomolgi,Public,709282.91
MTBLS519,09/01/18,GC-Q-MS,Kalanchoe fedtschenkoi,Public,202.29
MTBLS520,09/08/18,Insufficient data supplied,Rhytidiadelphus squarrosus;Marchantia polymorpha s. l.;Calliergonella cuspidata;Calliergonella cuspidata;Fissidens taxifolius;Polytrichum strictum;Brachythecium rutabulum;Grimmia pulvinata;Plagiomnium undulatum,In Curation,18826.47
MTBLS521,10/08/18,UPLC-QTOF-MS,Gossypium hirsutum,Submitted,0.07
MTBLS522,11/08/18,GC-TQ-MS,Rattus norvegicus,Submitted,2309.3
MTBLS523,11/10/17,HPLC-LTQ-MS,Heligmosomoides polygyrus,Submitted,4643.12
MTBLS524,18/08/17,NMR,Homo sapiens,Submitted,53.95
MTBLS525,26/10/17,UPLC-QTOF-MS/MS,Burkholderia thailandensis;Chromobacterium violaceum;Pseudomonas syringae,Public,22260.3
MTBLS526,01/10/17,GC-Q-MS,Lemna paucicostata,Submitted,446.21
MTBLS527,26/10/17,GC-TOF-MS;UPLC-QTOF-MS,Mus musculus,In Curation,2900.99
MTBLS528,11/12/17,HPLC-LTQ-MS,Arabidopsis thaliana,In Review,35225.12
MTBLS529,20/08/18,HPLC-LTQ-MS,Lolium perenne,Submitted,721170.54
MTBLS530,05/09/17,LC-TOF-MS,Mus musculus,Public,997.5
MTBLS531,01/11/17,HPLC-QTOF-MS/MS,Glycine max,Submitted,1317.93
MTBLS532,01/09/18,GC-Q-MS,Eisenia fetida,Submitted,4192.36
MTBLS533,01/11/17,LC-LTQ-MS,Homo sapiens,Submitted,0.27
MTBLS534,07/09/18,Insufficient data supplied,,Submitted,45.59
MTBLS535,10/10/17,GC-Q-MS;HPLC-QTOF-MS,Mycoplasma bovis;Mycoplasma gallisepticum,Public,410.43
MTBLS536,02/10/17,HPLC-LTQ-MS,Homo sapiens;Macaca mulatta;Plasmodium coatneyi,Public,23127.36
MTBLS537,12/09/18,GC-TOF-MS,Gallus gallus,Submitted,299.16
MTBLS538,20/09/17,GC-Q-MS,Acropora aspera;Symbiodinium sp. ex Acropora aspera,Submitted,1886.75
MTBLS539,12/03/18,NMR,C57BL/6J,Submitted,5558.95
MTBLS540,01/12/17,NMR,Homo sapiens,In Curation,10388.37
MTBLS541,01/01/18,NMR,Homo sapiens,Submitted,68.57
MTBLS542,11/12/17,HPLC-LTQ-MS,Homo sapiens;Macaca mulatta;Plasmodium coatneyi,Public,380303.88
MTBLS543,01/01/18,NMR,Equus caballus,Submitted,16.3
MTBLS544,31/10/18,LC-QTOF-MS,Leucanthemum vulgare;Knautia arvensis;Centaurea jacea;Plantago lanceolata,Submitted,1.15
MTBLS545,23/11/17,GC-TOF-MS,Mus musculus,Public,363.47
MTBLS546,23/11/17,GC-TOF-MS,Mus musculus,Public,343.97
MTBLS547,23/11/17,UPLC-TQ-MS,Mus musculus,Public,37.48
MTBLS548,23/11/17,UPLC-QTOF-MS,Mus musculus,Public,1083.05
MTBLS549,22/12/17,,,In Curation,9666.73
MTBLS550,05/10/18,UPLC-QTOF-MS,Brassica oleracea,Submitted,937.11
MTBLS551,,,,,
MTBLS552,07/10/18,GC-Q-MS;LC-LTQ-MS/MS,Homo sapiens,Submitted,6262.34
MTBLS553,05/12/17,UPLC-QTOF-MS/MS,Glycine max;Brassica napus;reference compound;Arabidopsis thaliana;Streptomyces viridochromogenes;Triticum aestivum;Brassica juncea,Public,33681.74
MTBLS554,01/10/18,UPLC-LTQ-MS,Bos taurus,In Curation,25529.43
MTBLS555,13/01/18,HPLC-QTOF-MS,Arabidopsis thaliana,In Review,710.31
MTBLS556,,,,,
MTBLS557,15/10/18,GC-TQ-MS,Brassica oleracea,Submitted,1.16
MTBLS558,30/11/18,HPLC-LTQ-MS/MS,Homo sapiens,In Review,199227.04
MTBLS559,15/11/17,UPLC-QTOF-MS,Nicotiana tabacum,Submitted,9064.05
MTBLS560,24/10/18,NMR,Gallus gallus,In Curation,136.96
MTBLS561,01/10/18,UPLC-LTQ-MS/MS,Bos taurus,In Curation,15892.44
MTBLS562,21/12/17,LC-TOF-MS/MS,Mus musculus,Submitted,8843.3
MTBLS563,27/10/18,NMR,Homo sapiens,Submitted,1.48
MTBLS564,31/01/18,NMR,Homo sapiens,Submitted,0.3
MTBLS565,,,,,
MTBLS566,04/01/18,UPLC-LTQ-MS,Rhodiola rosea,In Curation,33.93
MTBLS567,01/11/18,LC-LTQ-MS/MS,Prochlorococcus,In Curation,302.23
MTBLS568,09/11/18,,,Submitted,5.11
MTBLS569,,,,,
MTBLS570,01/11/19,HPLC-LTQ-MS,Mus musculus;reference compound;solvent,In Review,9042.98
MTBLS571,01/03/18,HPLC-QTOF-MS/MS,Skeletonema marinoi,In Curation,4709.03
MTBLS572,23/11/17,LC-QTOF-MS/MS,Escherichia coli,Submitted,6032.6
MTBLS573,16/11/18,UPLC-QTOF-MS,Gossypium hirsutum,Submitted,25322.05
MTBLS574,19/12/17,UPLC-QTOF-MS,Inga umbellifera;Inga alba;Inga microcoma;Inga marginata;Inga laurina;Inga leiocalycina;Inga cf brachystacys;Inga obidensis;Inga pezizifera;Inga auristellae;Inga chartacea;Inga alata;Inga acreana;Inga coruscans,Public,13143.41
MTBLS575,21/11/18,UPLC-QTOF-MS/MS,Zea mays subsp. mays,In Curation,38.41
MTBLS576,01/11/18,NMR,Sinorhizobium meliloti,Submitted,45.14
MTBLS577,29/11/17,HPLC-LTQ-MS/MS,Schizosaccharomyces pombe,Submitted,1038.54
MTBLS578,29/11/17,HPLC-LTQ-MS/MS,Schizosaccharomyces pombe,Submitted,1289.56
MTBLS579,17/01/18,GCxGC-TOF-MS,Homo sapiens,Public,66895.2
MTBLS580,05/12/17,GC-Q-MS,Mus musculus,Submitted,1725.32
MTBLS581,18/12/17,UPLC-QTOF-MS,Cunila menthoides,In Curation,12588.63
MTBLS582,15/12/17,UPLC-LTQ-MS/MS,Homo sapiens,Submitted,2714.23
MTBLS583,08/12/18,Insufficient data supplied,Arachis hypogaea,Submitted,593.46
MTBLS584,16/12/17,Insufficient data supplied,,Submitted,0.01
MTBLS585,20/12/17,GC-Q-MS,Macrobrachium nipponense,Submitted,2349
MTBLS586,20/01/18,UPLC-QTOF-MS,,Submitted,38354.71
MTBLS587,21/01/18,3D MALDI imaging MS,,Submitted,167.76
MTBLS588,21/01/18,3D MALDI imaging MS,,Submitted,385.47
MTBLS589,21/01/18,3D MALDI imaging MS,,Submitted,343.85
MTBLS590,31/12/17,Insufficient data supplied,,Submitted,0.02
MTBLS591,26/12/18,HPLC-QTOF-MS,,In Curation,12143.96
MTBLS592,,,,,
MTBLS593,31/07/18,NMR,,Submitted,269.69
MTBLS594,01/03/18,UPLC-QTOF-MS,,Submitted,31916.06
MTBLS595,02/02/18,UPLC-QTOF-MS,,Submitted,1.53
MTBLS596,28/02/18,UPLC-LTQ-MS/MS,,Submitted,1260.98
MTBLS597,31/03/18,3D MALDI imaging MS,Rattus norvegicus,In Review,28842
MTBLS598,30/03/18,UPLC-LTQ-MS,,Submitted,42509.97
MTBLS599,25/01/18,UPLC-TOF-MS,,Submitted,8778.17
MTBLS600,25/01/18,,,Submitted,0.04
MTBLS601,25/01/18,UPLC-TOF-MS,,Submitted,2834.86
MTBLS602,01/03/18,NMR,,Submitted,347.21
MTBLS603,26/01/18,,,Submitted,6008.53
MTBLS604,05/05/18,,,Submitted,543.05
MTBLS605,27/01/18,,,Submitted,4714.8
MTBLS606,27/01/18,UPLC-TOF-MS,,Submitted,2971.38
MTBLS607,28/01/18,UPLC-TOF-MS,,Submitted,4232.02
MTBLS608,,GC-Q-MS;LC-TQ-MS,,,
MTBLS609,,,,,
MTBLS610,,,,,
MTBLS611,,,,,
MTBLS612,,,,,
MTBLS613,,,,,
MTBLS614,,,,,
MTBLS615,,,,,
MTBLS616,,,,,
MTBLS617,,,,,
MTBLS618,,,,,
MTBLS619,,,,,
MTBLS620,,,,,
MTBLS621,,,,,
MTBLS622,,,,,
MTBLS623,,,,,
MTBLS624,,,,,
MTBLS625,,,,,
MTBLS626,,,,,
MTBLS627,,,,,
MTBLS628,,,,,
MTBLS629,,,,,
MTBLS630,,,,,
MTBLS631,,,,,
MTBLS632,,,,,
MTBLS633,,,,,
MTBLS634,,,,,
MTBLS635,,,,,
MTBLS636,,,,,
MTBLS637,,,,,
MTBLS638,,,,,
MTBLS639,,,,,
MTBLS640,,,,,
MTBLS641,,,,,
MTBLS642,,,,,
MTBLS643,,,,,
MTBLS644,,,,,
MTBLS645,,,,,
MTBLS646,,,,,
MTBLS647,,,,,
MTBLS648,,,,,
MTBLS649,,,,,
MTBLS650,,,,,
MTBLS651,,,,,
MTBLS652,,,,,
MTBLS653,,,,,
MTBLS654,,,,,
MTBLS655,,,,,
MTBLS656,,,,,
MTBLS657,,,,,
MTBLS658,,,,,
MTBLS659,,,,,
MTBLS660,,,,,
MTBLS661,,,,,
MTBLS662,,,,,
MTBLS663,,,,,
MTBLS664,,,,,
MTBLS665,,,,,
MTBLS666,,,,,
MTBLS667,,,,,
MTBLS668,,,,,
MTBLS669,,,,,
MTBLS670,,,,,
MTBLS671,,,,,
MTBLS672,,,,,
MTBLS673,,,,,
MTBLS674,,,,,
MTBLS675,,,,,
MTBLS676,,,,,
MTBLS677,,,,,
MTBLS678,,,,,
MTBLS679,,,,,
MTBLS680,,,,,
MTBLS681,,,,,
MTBLS682,,,,,
MTBLS683,,,,,
MTBLS684,,,,,
MTBLS685,,,,,
MTBLS686,,,,,
MTBLS687,,,,,
MTBLS688,,,,,
MTBLS689,,,,,
MTBLS690,,,,,
MTBLS691,,,,,
MTBLS692,,,,,
MTBLS693,,,,,
MTBLS694,,,,,
MTBLS695,,,,,
MTBLS696,,,,,
MTBLS697,,,,,
MTBLS698,,,,,
MTBLS699,,,,,
MTBLS700,,,,,
MTBLS701,,,,,
MTBLS702,,,,,
MTBLS703,,,,,
MTBLS704,,,,,
MTBLS705,,,,,
MTBLS706,,,,,
MTBLS707,,,,,
,,,,,
,,,,,
MTBLS???,,,,,
MTBLS???,25/11/15,,,,
MTBLS???,,,,,
