StudyID,Title,Species,Institute,Analysis,ReleaseDate,Version,Samples,Download
ST000209,Glycolysis/TCA/Nucleotide_Wt_KO_TimeCourse_LPS,Mus musculus,University of Michigan,MS,18/06/2016,1,48,Uploaded data (988M)*
ST000211,T cell metabolism during graft-versus-host disease (CAB 307)-PART II,Mus musculus,University of Michigan,MS,28/12/2015,1,7,Uploaded data (7.0M)*
ST000212,Murine gut bile acid analysis,Mus musculus,University of Michigan,MS,28/12/2015,1,60,Uploaded data (75M)*
ST000213,Germfree vs Conventional Swiss webster mice Studies (part II),Mus musculus,University of Michigan,MS,28/12/2015,1,66,Uploaded data (49M)*
ST000215,"Liver and Plasma metaboites for 13C-glucose load in wild type, LIRKO GTT 1 mice",Mus musculus,University of Michigan,MS,28/12/2015,1,40,Uploaded data (1.7G)*
ST000218,Role of Microbiome in Psoriatic Arthritis (SCFA in PsA),Homo sapiens,University of Michigan,MS,28/12/2015,1,89,Uploaded data (13M)*
ST000219 (Availability TBA),Metabolomics Analysis of Diabetes and the Cori Cycle (part II),Homo sapiens,University of North Carolina,MS,-,-,16,Not available
ST000220,Small cell lung cancer metabolome (part II),Homo sapiens,University of North Carolina,MS,08/07/2016,1,42,Uploaded data (56G)*
ST000221,"Normal plasma cells,Low proliferation multiple myeloma and High proliferation multiple myeloma cells",Homo sapiens,Mayo Clinic,MS,18/06/2016,1,12,Uploaded data (73G)*
ST000222,Bile acid targeted metabolomics of the small intestine in malnourished and control mice,Mus musculus,University of Victoria,MS,08/06/2015,1,8,Uploaded data (2.2M)*
ST000223,Metabolic Aberrations in Barth Syndrome,Homo sapiens,University of North Carolina,NMR,08/07/2016,1,40,Uploaded data (14M)*
ST000224,Vitamin targeted metabolomics of the small intestine in malnourished and control mice,Mus musculus,University of Victoria,MS,08/06/2015,1,16,Uploaded data (212K)
ST000225,Aryl Hydrocarbon Receptor Activation by Persistent Organic Pollutants Impacts Gut Microbiota-Host Metabolic Homeostasis in Mice,Mus musculus,Pennsylvania State University,NMR,08/06/2015,1,10,Uploaded data (1.6M)
ST000226,Metabolomics Reveals that Aryl Hydrocarbon Receptor Activation by Environmental Chemicals Induces Systemic Metabolic Dysfunction in Mice (Part I),Mus musculus,Pennsylvania State University,NMR,18/06/2015,1,6,Uploaded data (1.5M)
ST000228,Analysis of Dried Blood Spots by MALDI-MS,Homo sapiens,University of Florida,MS,03/10/2017,1,11,Uploaded data (118M)*
ST000229,Analysis of Dried Blood Spots by Paper Spray Ionization - MS,Homo sapiens,University of Florida,MS,03/10/2017,1,12,Uploaded data (52M)*
ST000230,Comprehensive analysis of transcriptome and metabolome in Intrahepatic Cholangiocarcinoma and Hepatocellular Carcinoma,Homo sapiens,Osaka City University,MS,03/08/2015,1,48,Uploaded data (1.2M)
ST000231,Comprehensive analysis of transcriptome and metabolome in Intrahepatic Cholangiocarcinoma and Hepatocellular Carcinoma (part II),Homo sapiens,Osaka City University,MS,03/08/2015,1,18,Uploaded data (372K)
ST000232,Untargeted metabolomic analysis of the small intestinal content of malnourished mice,Mus musculus,University of Victoria,MS,14/08/2015,1,16,Uploaded data (659M)*
ST000233,Metabolomics Reveals that Aryl Hydrocarbon Receptor Activation by Environmental Chemicals Induces Systemic Metabolic Dysfunction in Mice (Part II),Mus musculus,Pennsylvania State University,MS,14/08/2015,1,38,Uploaded data (207M)*
ST000234,Activity-Based Metabolic Profiling of M. tuberculosis H37Rv Rv1130,Mycobacterium tuberculosis H37Rv,Weill Cornell Medical College,MS,10/08/2015,1,12,Uploaded data (1.7M)
ST000235,Sprague Dawley rats Nicotine alters brain oxidative metabolism,Rattus norvegicus,University of Florida,MS,23/09/2016,1,64,Uploaded data (3.8G)*
ST000236,Quick Comparison of Urine Metabolites in Human and SD Rats of Different Sex by Untargeted UPLC-TOFMS and In-house Software Platform,Homo sapiens / Rattus norvegicus,Beijing Institute of Radiation Medicine,MS,09/09/2015,1,258,Uploaded data (16M)
ST000237,Quick Comparison of Serum Metabolites in SD Rats of Different Sex by Untargeted UPLC-TOFMS and In-house Software Platform,Rattus norvegicus,Beijing Institute of Radiation Medicine,MS,09/09/2015,1,32,Uploaded data (2.0M)
ST000239,Sexual antagonism in exuded non-volatile metabolites in C. purpureus,Ceratodon purpurues,University of Florida,MS,23/09/2016,1,40,Uploaded data (9.9G)*
ST000240,Global LC-MS of Ozone Stress in Maize: GLCMS,Zea mays,University of Florida,MS,23/09/2016,1,48,Uploaded data (5.0G)*
ST000241,Cyclobutene- and cyclobutane-functionalized fatty acids as novel biochemical probes of structure and function in HepG2 cells,Homo sapiens,University of Nebraska-Lincoln,MS,10/07/2017,1,48,Uploaded data (4.8G)*
ST000242,"Whole unconditioned medium (Defined culture media, M199),Whole M1 medium,Whole M2 medium",Homo sapiens,Mayo Clinic,MS,08/07/2016,2,36,Uploaded data (20G)*
ST000243,Metabolomic-based investigation on the effects of antifungal agents in Candida albicans,Candida albicans,University of Florida,MS,23/09/2016,1,192,Uploaded data (7.6G)*
ST000244,Metabolomic Diagnosis in Horse,Equus caballus,University of Florida,MS,23/09/2016,1,102,Uploaded data (22G)*
ST000245,Acyl-Carnitine Analysis in mouse soleus muscle,Mus musculus,University of Michigan,MS,18/06/2016,1,19,Uploaded data (18M)*
ST000246,Lipid Extraction Efficiency Comparison,Homo sapiens,University of Florida,MS,22/12/2016,1,4,Uploaded data (2.1G)*
ST000247 (Available on 2018-07-01),Determining the metabolic profile of wildtype and nos mutant Staphylococcus aureus grown in media lacking glucose using targeted LC/MS,Staphylococcus aureus,University of Florida,MS,-,-,156,Not available
ST000248,Metabolic heterogeneity in Glioblastoma,Homo sapiens,University of Florida,MS,23/09/2016,1,12,Uploaded data (734M)*
ST000249,Measurement of free amino acid (AA) in response to MYC,Homo sapiens,University of Florida,MS,23/09/2016,1,6,Uploaded data (920K)
ST000250,The Role of Obesity and Adipocytes in Immune Activation on Antiretroviral Therapy,Homo sapiens,University of Florida,MS,22/12/2016,1,300,Uploaded data (2.3M)
ST000251,Amino Acid levels in preB cells under starvation,Mus musculus,University of Florida,MS,22/12/2016,1,12,Uploaded data (65M)*
ST000252,Impact of recurrent hypoglycemia on brain metabolite profile,Rattus norvegicus,University of Florida,MS,22/12/2016,1,80,Uploaded data (4.7G)*
ST000253,NIH WCMC Pilot & Feasibility Project: ñMetabolomics of Neonatal Pulmonary Hypertensionî,Rattus norvegicus,"University of California, Davis",MS,14/09/2015,1,64,Uploaded data (8.3M)*
ST000254,The role of microbial metabolites in experimental liver disease,Mus musculus,University of North Carolina,MS,22/12/2016,1,48,Uploaded data (1.4M)*
ST000255,NIH WCMC Pilot & Feasibility Project: ñMetabolomics of Neonatal Pulmonary Hypertensionî in human,Homo sapiens,"University of California, Davis",MS,14/09/2015,1,42,Uploaded data (27M)*
ST000256,Signal Intensities Derived from Different NMR Probes and Parameters Contribute to Variations in Quantification of Metabolites,Homo sapiens,University of Michigan,NMR,18/09/2015,1,38,Uploaded data (8.4M)*
ST000257,NIH WCMC Pilot & Feasibility Project: ñMetabolite changes associated with weight lossî,Mus musculus,"University of California, Davis",MS,24/09/2015,1,270,Uploaded data (123M)*
ST000258,Metabolic contribution of pSymA and pSymB megaplasmid/chromid for multipartite Sinorhizobium meliloti cultured in minimal M9 medium,Sinorhizobium meliloti,McMaster University,MS,26/10/2015,1,230,Uploaded data (71G)*
ST000259,Metabolic contribution of pSymA and pSymB megaplasmid/chromid for multipartite Sinorhizobium meliloti cultured in rich LBmc medium,Sinorhizobium meliloti,McMaster University,MS,26/10/2015,1,164,Uploaded data (52G)*
ST000260,Analysis of DJ-1 Knockout Mouse Brains,Mus musculus,National Institute on Aging,MS,03/10/2017,1,75,Uploaded data (252K)
ST000261,1H NMR metabolomics study of spleen from C57BL/6 mice exposed to gamma radiation,Mus musculus,Pacific Northwest National Laboratory,NMR,26/10/2015,1,17,Uploaded data (4.4M)*
ST000262,Activity-Based Metabolic Profiling of M. tuberculosis H37Rv Rv1713,Mycobacterium tuberculosis H37Rv,Weill Cornell Medical College,MS,22/12/2016,2,36,Uploaded data (7.1M)
ST000263,Activity-Based Metabolic Profiling of M. tuberculosis H37Rv Rv1016,Mycobacterium tuberculosis H37Rv,Weill Cornell Medical College,MS,22/12/2016,2,18,Uploaded data (6.4M)
ST000264,Activity-Based Metabolic Profiling of M. tuberculosis H37Rv Rv3280,Mycobacterium tuberculosis H37Rv,Weill Cornell Medical College,MS,22/12/2016,2,18,Uploaded data (2.4M)
ST000265,Activity-Based Metabolic Profiling of M. tuberculosis H37Rv Rv3244,Mycobacterium tuberculosis H37Rv,Weill Cornell Medical College,MS,22/12/2016,2,18,Uploaded data (3.4M)
ST000266,Activity-Based Metabolic Profiling of M. tuberculosis H37Rv Rv3801,Mycobacterium tuberculosis H37Rv,Weill Cornell Medical College,MS,22/12/2016,2,18,Uploaded data (2.3M)
ST000267,Activity-Based Metabolic Profiling of M. tuberculosis H37Rv Rv3722c,Mycobacterium tuberculosis H37Rv,Weill Cornell Medical College,MS,22/12/2016,2,18,Uploaded data (3.8M)
ST000268,Activity-Based Metabolic Profiling of M. tuberculosis H37Rv Rv3311,Mycobacterium tuberculosis H37Rv,Weill Cornell Medical College,MS,22/12/2016,2,18,Uploaded data (2.9M)
ST000269,Diacylglyceride and Ceramide analysis in TFD mice,Mus musculus,University of Florida,MS,10/07/2017,1,29,Uploaded data (292K)
ST000270,Metabolomics in AML,Homo sapiens,University of Florida,MS,22/12/2016,1,54,Uploaded data (6.4G)*
ST000271,C13 Pyruvate Flux in 3t3 L1,Mus musculus,University of Michigan,MS,06/01/2016,1,10,Uploaded data (955M)
ST000272,Acyl-carnitine analysis (plasma),Mus musculus,University of Michigan,MS,06/01/2016,1,16,Uploaded data (29M)
ST000273,Short-chain fatty acid analysis in bronchoalveolar lavage fluid (BAL SCFA),Homo sapiens,University of Michigan,MS,06/01/2016,1,39,Uploaded data (2.0M)
ST000274,HIF 1 alpha type 2 cells metabolomics,Mus musculus,University of Michigan,MS,13/01/2016,1,9,Uploaded data (1.6G)
ST000275,Metabolic analysis of Parp1 ko/wt Saline & Bleo Mouse Lung Fiboblasts and Human IPF & Normal Lung Fiboblasts (Part 2),Mus musculus,University of Michigan,MS,13/01/2016,1,10,Uploaded data (930M)
ST000276,IDH1 and Glioma knockdown idh1,Homo sapiens,University of Michigan,MS,13/01/2016,1,20,Uploaded data (1.2G)
ST000277 (Availability TBA),Pouch metabolome,Homo sapiens,University of Michigan,MS,-,-,14,Not available
ST000278,Viral Effect on Metabolism (part I),Homo sapiens,University of Michigan,MS,13/01/2016,1,24,Uploaded data (17M)
ST000279,Viral Effect on Metabolism (part II),Homo sapiens,University of Michigan,MS,13/01/2016,1,48,Uploaded data (1.8G)
ST000282,Pilot Study 13C flux effects when RhoC or RhoA perturbed (13C BCs),Homo sapiens,University of Michigan,MS,13/01/2016,1,32,Uploaded data (5.3G)
ST000283,Plasma Nucleotide/adenosine concentrations (Human AxP Batch 4),Homo sapiens,University of Michigan,MS,13/01/2016,1,15,Uploaded data (21M)
ST000284,Colorectal Cancer Detection Using Targeted Serum Metabolic Profiling,Homo sapiens,University of Washington,MS,16/12/2015,1,224,Uploaded data (436K)
ST000285,NMR-based Metabolomics for CRC Diagnosis,Homo sapiens,University of Washington,NMR,21/12/2015,1,513,Uploaded data (13M)
ST000286,Mouse skeletal myotube chronic low-frequency stimulation,Mus musculus,University of Florida,MS,22/12/2016,1,80,Uploaded data (2.0G)*
ST000287,Energetics in dystrophic muscle,Mus musculus,University of Florida,MS,22/12/2016,1,40,Uploaded data (1.6M)
ST000288,Metabolomic profiling of AML Cell Lines,Homo sapiens,University of Florida,MS,22/12/2016,1,48,Uploaded data (17G)*
ST000289,PPDK RNAi effects in endosperm metabolite pools,Zea mays,University of Florida,MS,22/12/2016,1,24,Uploaded data (2.0G)*
ST000290,2014 Biotron Experiment Metabolites,Zea mays,University of Florida,MS,22/12/2016,1,94,Uploaded data (5.2G)*
ST000291,LC-MS Based Approaches to Investigate Metabolomic Differences in the Urine of Young Women after Drinking Cranberry Juice or Apple Juice,Homo sapiens,University of Florida,MS,22/12/2016,1,90,Uploaded data (4.9G)*
ST000292,LC-MS Based Approaches to Investigate Metabolomic Differences in the Plasma of Young Women after Drinking Cranberry Juice or Apple Juice,Homo sapiens,University of Florida,MS,22/12/2016,1,102,Uploaded data (4.9G)*
ST000293,Vitamin B6 Effects on one-carbon metabolism,Homo sapiens,University of Florida,MS,22/12/2016,1,144,Uploaded data (218M)*
ST000294,Mechanisms of Metabolic Cycles in Diapausing Flesh Fly by Metabolomics Approach,Sarcophaga crassipalpis,University of Florida,MS,22/12/2016,1,90,Uploaded data (3.8G)*
ST000295,Metabolic analysis of Human and Mouse Lung Fiboblasts,Mus musculus / Homo sapiens,University of Michigan,MS,18/06/2016,1,70,Uploaded data (2.8G)*
ST000296,Chronic mild stress and Lactobacillus experiments on mice,Mus musculus,University of Michigan,MS,18/06/2016,1,16,Uploaded data (1.6M)*
ST000297,Intestinal lipid oxidation after VSG,Rattus norvegicus,University of Michigan,MS,18/06/2016,1,34,Uploaded data (69M)*
ST000298,Analysis of steroid metabolites in psoriasis.,Homo sapiens,University of Michigan,MS,18/06/2016,1,9,Uploaded data (66M)*
ST000299,Conjugated linoleic acid (CLA) study in LDLR-/- mice,Mus musculus,University of Michigan,MS,18/06/2016,1,80,Uploaded data (57M)*
ST000300,Chicken/C. jejuni Bile Acid Study,Gallus gallus,University of Michigan,MS,18/06/2016,1,4,Uploaded data (13M)*
ST000301,GBM Cell Lines Reproducibility Pilot Study,Homo sapiens,University of Michigan,MS,18/06/2016,1,28,Uploaded data (1.3G)*
ST000302,Isocitrate dehydrogenase-1/Glioma Fluxomics Study,Homo sapiens,University of Michigan,MS,18/06/2016,1,108,Uploaded data (1.6G)*
ST000303,Human fecal bile acid profiles before and after fecal transplant (Part 2),Homo sapiens,University of Michigan,MS,18/06/2016,1,15,Uploaded data (58M)*
ST000304,Early in life exposure studies on human and mouse samples,Mus musculus / Homo sapiens,University of Michigan,MS,18/06/2016,1,52,Uploaded data (35M)*
ST000305,Pig Athersclerosis Model,Sus scrofa,University of North Carolina,NMR,31/12/2016,1,90,Uploaded data (50M)*
ST000306,Metabolomics Approach to Identify Molecules and Pathways Involved in the Development of Atherosclerotic Coronary Artery Disease,Homo sapiens,University of North Carolina,NMR,31/12/2016,1,110,Uploaded data (60M)*
ST000307,Targeting CRBN to alter CD8 T cell metabolism,Mus musculus,University of Florida,MS,22/12/2016,1,120,Uploaded data (40G)*
ST000308,13C mass isotopomer analysis (LCMS flux studies) MLL-AF9 (part I),Mus musculus,University of Michigan,MS,08/01/2016,1,18,Uploaded data (1.6G)*
ST000309,Metabolome of three Vancomycin-intermediate Staphylococcus aureus (VISA) mutants compared with the parent strain MM66,Staphylococcus aureus,Oklahoma State University,MS,14/01/2016,1,12,Uploaded data (30M)
ST000310,TC and B6 untreated plasma in lupus-prone mice lipidomics (part-II),Mus musculus,University of Florida,MS,18/01/2016,1,68,Uploaded data (1.7M)
ST000311,TC and B6 untreated plasma in lupus-prone mice,Mus musculus,University of Florida,MS,01/02/2017,1,68,Uploaded data (2.3M)
ST000312,IDH1R132H activity in glioma cell lines and tumnor tissue (2HG),Mus musculus,University of Michigan,MS,18/06/2016,1,4,Uploaded data (108K)
ST000313,Muscle Clock knock out mice metabolic changes (iMSBmal1-Exp1),Mus musculus,University of Michigan,MS,18/06/2016,1,14,Uploaded data (1.9G)
ST000314,"NSAID treatment alters the metabolomics profile of liver, kidney, lung, and heart in an experimental mouse model of heat stroke",Mus musculus,University of North Carolina,NMR,31/12/2016,1,92,Uploaded data (50M)*
ST000315,Metabolomics and Childhood Obesity: A Pilot and Feasibility Study With Multiple Phenotypic Anchors,Homo sapiens,University of North Carolina,NMR,31/12/2016,1,233,Uploaded data (14M)*
ST000316,"Comparison of Metabolites Variation and Antiobesity Effects of a Mixture of Cudrania tricuspidata, Lonicera caerulea, and the Soybean According to Fermentation in vitro and in vivo",Mus musculus,Konkuk university,MS,20/01/2016,1,47,Uploaded data (456M)*
ST000317,Role of medium in bacterial growth,Bacteria,"University of California, Davis",MS,27/01/2016,1,38,Uploaded data (5.9G)*
ST000318,Allantoin differences in Synechococcus cells grown in high versus low lightgrowth,Synechococcus sp CC9605,"University of California, Davis",MS,27/01/2016,1,12,Uploaded data (1.4G)*
ST000319,Crude algae oil sample,Algae,"University of California, Davis",MS,27/01/2016,1,1,Uploaded data (197M)*
ST000320,Single treatment gene impact on Arabidopsis metabolites,Arabidopsis thaliana,"University of California, Davis",MS,27/01/2016,1,34,Uploaded data (7.0G)*
ST000321,Effects of LGG on current drinkers gut metabolism,Mus musculus,"University of California, Davis",MS,27/01/2016,1,56,Uploaded data (12G)*
ST000322,"Progesterone level effects on primary metabolites in uterus, blood, and ovaries (Part 1:Plasma)",Bos taurus,"University of California, Davis",MS,27/01/2016,1,160,Uploaded data (21G)*
ST000323,"Progesterone level effects on primary metabolites in uterus, blood, and ovaries (Part 2:Uterine flush)",Bos taurus,"University of California, Davis",MS,27/01/2016,1,60,Uploaded data (21G)*
ST000324,"Progesterone level effects on primary metabolites in uterus, blood, and ovaries (Part 3:Ovaries)",Bos taurus,"University of California, Davis",MS,27/01/2016,1,20,Uploaded data (21G)*
ST000325,"Metabolomic effects of metformin on mouse liver, intestine, and serum",Mus musculus,"University of California, Davis",MS,22/12/2016,1,54,Uploaded data (8.0G)*
ST000326,Role of medium in bacterial growth (HILIC chromatography),Bacteria,"University of California, Davis",MS,27/01/2016,2,38,Uploaded data (5.8G)*
ST000327,Primary metabolites at different points along dog gastrointestinal tract (HILIC chromatography),Canis lupus familiaris,"University of California, Davis",MS,27/01/2016,1,48,Uploaded data (9.3G)*
ST000328,Primary metabolites at different points along dog gastrointestinal tract (CSH chromatography),Canis lupus familiaris,"University of California, Davis",MS,27/01/2016,1,48,Uploaded data (9.5G)*
ST000329,Minimal change disease and focal segmental sclerosis in urine,Homo sapiens,"University of California, Davis",MS,27/01/2016,1,60,Uploaded data (11G)*
ST000330,Effects of Zinc on GI tract metabolites (Part 1: Esophagus),Mus musculus,"University of California, Davis",MS,27/01/2016,1,48,Uploaded data (5.6G)*
ST000331,Effects of Zinc on GI tract metabolites (Part 2: Prostate),Mus musculus,"University of California, Davis",MS,27/01/2016,1,48,Uploaded data (5.5G)*
ST000332,Effects of Giardia intestinalis on mice GI tract,Mus musculus,"University of California, Davis",MS,27/01/2016,1,28,Uploaded data (5.2G)*
ST000335,Metabolomics of bovine uterine fluid at the onset of conceptus elongation,Bos taurus,University of Florida,MS,17/01/2017,1,60,Uploaded data (1.8M)
ST000336,Targeted LC/MS of urine from boys with DMD and controls,Homo sapiens,University of Florida,MS,17/01/2017,1,116,Uploaded data (1.6M)
ST000337,Metabolomics Approach to Allograft Assessment in Liver Transplantation,Homo sapiens,Ochsner Multi-Organ Transplant Institute,MS,17/01/2017,1,125,Uploaded data (2.9M)
ST000338,Gut microbiome-derived metabolites modulate intestinal epithelial cell damage and mitigate graft-versus-host disease,Mus musculus,University of Michigan,MS,18/06/2016,1,68,Uploaded data (132K)
ST000339,Metabolites in peritoneal macrophages and bone marrow derived macrophages,Mus musculus,"University of California, Davis",MS,18/06/2016,1,24,Uploaded data (4.4G)*
ST000340,Metformin effects on liver and kidney tissue,Mus musculus,"University of California, Davis",MS,22/12/2016,1,20,Uploaded data (2.8G)*
ST000341,Methylation in mouse lymphomas,Mus musculus,University of Florida,MS,28/01/2017,1,24,Uploaded data (860K)
ST000342,Renal metabolic pathways indicating ischemic or inflammatory changes,Homo sapiens,"University of California, Davis",MS,03/03/2016,1,33,Uploaded data (3.6G)*
ST000343,Modification of metabolites by gut microbiota in response to diet,Rattus norvegicus,"University of California, Davis",MS,03/03/2016,1,68,Uploaded data (9.6G)*
ST000344,Effects of dietary supplement on hamster metabolism,Cricetinae,"University of California, Davis",MS,03/03/2016,1,24,Uploaded data (2.6G)*
ST000346,Metabolites detected from human bronchoalveolar lavage,Homo sapiens,"University of California, Davis",MS,03/03/2016,1,36,Uploaded data (3.1G)*
ST000347,Metabolomic analysis on samples from rats expressing human amylin (cardiac tissue).,Rattus norvegicus,Duke University,MS,03/03/2016,1,16,Uploaded data (72K)
ST000348,Metabolomic analysis on samples from rats expressing human amylin (brain tissue).,Rattus norvegicus,Duke University,MS,03/03/2016,1,20,Uploaded data (92K)
ST000349,Metabolomic analysis on samples from rats expressing human amylin (hepatic tissue).,Rattus norvegicus,Duke University,MS,03/03/2016,1,20,Uploaded data (96K)
ST000350,Metabolomic analysis on samples from rats expressing human amylin (plasma).,Rattus norvegicus,Duke University,MS,03/03/2016,1,20,Uploaded data (100K)
ST000351 (Available on 2018-02-18),"Determining the metabolic profile of wildtype, lrgAB, and atlA mutant Steptococcus mutans grown aerobically and anaerobically",Streptococcus mutans,University of Florida,MS,-,-,165,Not available
ST000352,Metabolic profiling reveals biochemical pathways and potential biomarkers associated with the pathogenesis of Krabbe disease,Mus musculus,University at Buffalo,MS,03/03/2016,1,96,Uploaded data (316K)*
ST000353,The Development of Metabolomic Markers in African Bermudagrass (C. transvaalensis) for Sting Nematode (Belonolaimus longicaudatus) Response,C. transvaalensis,University of Florida,MS,10/07/2017,1,84,Uploaded data (4.4G)*
ST000354,Metabolite comparison of mouse gastric tissue and glands,Mus musculus,"University of California, Davis",MS,03/03/2016,1,46,Uploaded data (3.2G)*
ST000355,GC/MS and LC/MS metabolomics profiling for breast cancer plasma data and control plasma data,Homo sapiens,University of Hawaii Cancer Center,MS,16/03/2016,1,422,Uploaded data (748K)
ST000356,GC/MS and LC/MS metabolomics profiling for breast cancer serum data and control serum data,Homo sapiens,University of Hawaii Cancer Center,MS,21/03/2016,1,268,Uploaded data (816K)
ST000357,Broad Spectrum MS analysis of mouse hypothalmus from Anxiety Prone HSV-Latently Infected Obese Mice,Mus musculus,University of North Carolina,MS,03/03/2017,1,72,Uploaded data (33G)*
ST000358,Broad Spectrum MS analysis of mouse hippocampus from Anxiety Prone HSV-Latently Infected Obese Mice,Mus musculus,RTI,MS,04/03/2017,1,72,Uploaded data (36G)*
ST000359,Broad Spectrum MS analysis of mouse microglia cells from Anxiety Prone HSV-Latently Infected Obese Mice,Mus musculus,University of North Carolina,MS,03/03/2017,1,70,Uploaded data (30G)*
ST000361,Characterization and Plasticity of the Metabolome in Peripheral Cells in Bipolar I Disorder,Homo sapiens,University of North Carolina,MS,03/03/2017,1,46,Uploaded data (39G)*
ST000362,"Associations between 69 Sphingolipids and Emphysema, Chronic Bronchitis, Exacerbations, and FEV1/FVC",Homo sapiens,"National Jewish Health, Colorado",MS,23/09/2016,1,129,Uploaded data (24K)
ST000363,Broad Spectrum MS analysis of mouse peripheral blood mononuclear cells (PBMC) from Anxiety Prone HSV-Latently Infected Obese Mice,Mus musculus,University of North Carolina,MS,03/03/2017,1,70,Uploaded data (37G)*
ST000364,Metabolomics Profiling of NEST Cord Blood Plasma,Homo sapiens,University of North Carolina,NMR,03/10/2017,1,122,Uploaded data (63M)*
ST000365,Zebrafish Metabolomics: Model for Environmental Metal Toxicity,Danio rerio,University of North Carolina,NMR,03/10/2017,1,45,Uploaded data (23M)*
ST000366,Metabolomics analysis of colon adenoma in African Americans,Homo sapiens,University of North Carolina,NMR,10/07/2017,1,20,Uploaded data (5.7M)*
ST000367,Distinctly perturbed metabolic networks underlie differential tumor tissue damages induced by immune modulator b-glucan in a two-case ex vivo non-small cell lung cancer study,Homo sapiens,University of Kentucky,MS,21/03/2016,1,24,Uploaded data (1.4M)
ST000368,Investigation of metabolomic blood biomarkers for detection of adenocarcinoma lung cancer,Homo sapiens,"University of California, Davis",MS,08/04/2016,1,192,Uploaded data (1.3G)*
ST000369,Investigation of metabolomic blood biomarkers for detection of adenocarcinoma lung cancer (part II),Homo sapiens,"University of California, Davis",MS,03/04/2016,1,181,Uploaded data (1.3G)*
ST000370,Primary T Cell Noxa Knockdown (Donor 8) III,Homo sapiens,University of Michigan,MS,22/12/2016,1,16,Uploaded data (19M)*
ST000371,Colon cancer metabolomics via stool sample,Mus musculus,University of Michigan,MS,22/12/2016,1,40,Uploaded data (89M)*
ST000372,Measure change in metabolites based on diet and feeding status (part I),Drosophila melanogaster,University of Michigan,MS,22/12/2016,1,18,Uploaded data (30M)*
ST000373,Measure change in metabolites based on diet and feeding status (part II),Drosophila melanogaster,University of Michigan,MS,22/12/2016,1,18,Uploaded data (107M)*
ST000374,Mice exercise metabolomics (part I),Mus musculus,University of Michigan,MS,22/12/2016,1,16,Uploaded data (26M)*
ST000375,Mice exercise metabolomics (part II),Mus musculus,University of Michigan,MS,22/12/2016,1,16,Uploaded data (1.3G)*
ST000376,Kidney choline acetyltransferase (ChAT)-3,Mus musculus,University of Michigan,MS,22/12/2016,1,25,Uploaded data (43M)*
ST000377,Kidney choline acetyltransferase (ChAT)-(part II),Rattus norvegicus,University of Michigan,MS,22/12/2016,1,18,Uploaded data (45M)*
ST000378,2 hydroxiglutarate with with IDH1-R132H inhibitor in neurospheres,Mus musculus,University of Michigan,MS,22/12/2016,1,18,Uploaded data (7.5M)*
ST000379,Temporal metabolomic responses of cultured HepG2 liver cells to high fructose and high glucose exposures,Homo sapiens,"University of California, Davis",MS,25/04/2016,1,78,Uploaded data (28G)*
ST000380,Temporal metabolomic responses of cultured HepG2 liver cells to high fructose and high glucose exposures (part II),Homo sapiens,"University of California, Davis",MS,25/04/2016,1,76,Uploaded data (29G)*
ST000381,Urinary Metabolites in IC/PBS Diagnosis (part I),Homo sapiens,"University of California, Davis",MS,25/04/2016,1,92,Uploaded data (618M)*
ST000382,Urinary Metabolites in IC/PBS Diagnosis (part II),Homo sapiens,"University of California, Davis",MS,25/04/2016,1,188,Uploaded data (618M)*
ST000383,Plasma Metabolomic Profiles Reflective of Glucose Homeostasis in Non-Diabetic and Type 2 Diabetic Obese African-American Women,Homo sapiens,"University of California, Davis",MS,25/04/2016,1,56,Uploaded data (391M)*
ST000384,Metabolomic profiles in P. gingivalis cells treated with pABA,Porphyromonas gingivalis ATCC 33277,Osaka University Graduate School of Dentistry,MS,16/04/2016,1,6,Uploaded data (80K)
ST000385,Investigation of metabolomic blood biomarkers for detection of adenocarcinoma lung cancer (training set),Homo sapiens,"University of California, Davis",MS,30/04/2016,1,192,Uploaded data (2.5G)*
ST000386,Investigation of metabolomic blood biomarkers for detection of adenocarcinoma lung cancer (test/validation),Homo sapiens,"University of California, Davis",MS,25/04/2016,1,180,Uploaded data (2.5G)*
ST000387,Changes in the metabalome and lipidome in response to exercise training,Homo sapiens,"University of California, Davis",MS,29/04/2016,1,552,Uploaded data (41G)*
ST000388,Serum phosphatidylethanolamine levels distinguish benign from malignant solitary pulmonary nodules and represent a potential diagnostic biomarker for lung cancer (part I),Homo sapiens,"University of California, Davis",MS,01/05/2016,2,95,Uploaded data (46G)*
ST000389,Serum phosphatidylethanolamine levels distinguish benign from malignant solitary pulmonary nodules and represent a potential diagnostic biomarker for lung cancer (part II),Homo sapiens,"University of California, Davis",MS,01/05/2016,2,95,Uploaded data (46G)*
ST000390,Metabolomic markers of altered nucleotide metabolism in early stage adenocarcinoma (part I),Homo sapiens,"University of California, Davis",MS,18/06/2016,2,87,Uploaded data (49G)*
ST000391,Metabolomic markers of altered nucleotide metabolism in early stage adenocarcinoma (part II),Homo sapiens,"University of California, Davis",MS,18/06/2016,2,87,Uploaded data (49G)*
ST000392,Systemic Metabolomic Changes in Blood Samples of Lung Cancer Patients Identified by Gas Chromatography Time-of-Flight Mass Spectrometry,Homo sapiens,"University of California, Davis",MS,18/06/2016,2,183,Uploaded data (1.3G)*
