Title,StudyID,Uploaded by,PI,Upload Date,# Files,Total Size (KB),Species,Instrument
GNPS_GCMS_cheese_study,MSV000081161,aaksenov,Dutton,"Jun. 14, 2017, 4:36 PM",147,3699579,Lactobacillus casei,TSQ Quantum
GNPS colza fragments NORT,MSV000081158,dbennouna,Djawed Bennouna,"Jun. 14, 2017, 7:38 AM",4,69018,Brassica napus,Q-exactive
"GNPS - MaHPIC Experiment 30: Lipidomics from the pilot experiment for <i>Macaca mulatta</i> infected with <i>Plasmodium knowlesi</i> strain Pk1 (A+) to produce and integrate clinical, hematological, parasitological, omics, telemetric and histopathological measures of acute primary infection",MSV000081156,mahpic,Mary Galinski,"Jun. 12, 2017, 6:34 AM",33,199052,#NAME?,TSQ Quantum Ultra
GNPS CASMI 2017 challenges for cat 1-4 - MS2 spectrum only for positive and negative ionization mode,MSV000081155,lfnothias,Pieter Dorrestein,"Jun. 11, 2017, 2:37 PM",443,484,n/a,Synapt G2 HDMS
GNPS - SEED - Role of type I and type II natural killer T (NKT) cells in NASH (Non-alcoholic steatohepatitis),MSV000081152,fevargas,Suryasarathi Dasgupta,"Jun. 9, 2017, 5:20 PM","7,240",43323689,Mus musculus,maXis
GNPS - SEED - Wollam Olefsky Fpr1,MSV000081151,fevargas,Joshua Wollam,"Jun. 9, 2017, 2:41 PM",516,16656903,Mus musculus,Q Exactive
GNPS GC Data XSectinoal CF Sputum,MSV000081150,quinnr,Robert Quinn,"Jun. 9, 2017, 1:17 PM",347,12389256,Homo sapiens,maXis
"GNPS - MaHPIC Experiment 25: Lipidomics from <i>Macaca mulatta</i> infected with <i>Plasmodium cynomolgi</i> strain ceylonensis, in a heterologous challenge, to produce and integrate clinical, hematological, parasitological, and omics measures of acute primary infection and relapses",MSV000081138,mahpic,Mary Galinski,"Jun. 5, 2017, 2:18 PM",23,144136,#NAME?,-TSQ Quantum Ultra API 4000
GNPS - Bacteria on the Exoskeleton of Fungus-Growing Ants,MSV000081131,kdelaney33,Lingjun Li,"Jun. 1, 2017, 4:44 PM",141,67551406,#NAME?,Q Exactive
MetaboLights MTBLS26 - GNPS Lipidomic analysis of lipid droplets from murine hepatocytes reveals distinct signatures for nutritional stress.,MSV000081123,rsilva,Kofeler,"May. 30, 2017, 2:26 PM",172,5596189,murine,LTQ-FT Thermo Scientific
GNPS - Stool (fecal) HILIC LC-MS/MS and LC-MS data from clinical cohort - used for MS2LDA substructure discovery,MSV000081120,jjjvanderhooft,Justin van der Hooft,"May. 29, 2017, 3:29 AM",47,3131088,Homo sapiens,Q Exactive
GNPS - Beer pHILIC LC-MS/MS and LC-MS data - used for MS2LDA substructure discovery,MSV000081119,jjjvanderhooft,Justin van der Hooft,"May. 29, 2017, 3:20 AM",474,14122971,#NAME?,Q Exactive
GNPS - Urine pHILIC LC-MS/MS and LC-MS data from clinical cohort - used for MS2LDA substructure discovery,MSV000081118,jjjvanderhooft,Justin van der Hooft,"May. 29, 2017, 2:39 AM",474,14122980,Homo sapiens,Q Exactive
GNPS - SILAC experiments with Streptomyces and Pseudomonas species,MSV000081116,lfnothias,Pieter Dorrestein,"May. 29, 2017, 12:22 AM",134,12454378,-Pseudomonas fluorescens BW11P2 Streptomyces roseosporus NRRL 15998 Streptomyces albus J1074 Pseudomonas sp. WCS312 Pseudomonas synxantha 32,Q-Exactive
GNPS - Qualitative analysis of synthetical compounds,MSV000081113,lfnothias,#NAME?,"May. 27, 2017, 1:01 PM",38,2613138,None,Q-Exactive
GNPS - FOOD_Project - Baby Formula,MSV000081108,fevargas,Julia Gauglitz,"May. 24, 2017, 4:30 PM",33,1756383,Homo sapiens,Q Exactive
GNPS Microbial Demo Data ASM 2017,MSV000081107,quinnr,Pieter Dorrestein,"May. 24, 2017, 3:00 PM",16,666940,Homo sapiens,maXis
GNPS ASM 2017 ili Demo Sequencing and Metabolomics Data,MSV000081106,quinnr,Pieter Dorrestein,"May. 23, 2017, 2:33 PM",5,76735,Mus musculus,maXis
GNPS - DOM Scripps Pier - 02162016 - concentration,MSV000081099,ikoester,Lihini Aluwihare,"May. 19, 2017, 2:18 PM",107,7705412,environmental samples <Bacillariophyta>,Q-Exactive
GNPS Drug Metabolism Demo Data,MSV000081098,quinnr,Pieter Dorrestein,"May. 19, 2017, 10:38 AM",8,395440,Homo sapiens,maXis
GNPS_FAC-MS_A_terreus,MSV000081097,kdclevenger,Kenneth D Clevenger,"May. 19, 2017, 10:25 AM",13,6555948,Aspergillus,Q Exactive
GNPS - Various plant parts,MSV000081083,mernst,Pieter Dorrestein,"May. 15, 2017, 4:15 AM",352,11591603,eudicotyledons,micrOTOF II
GNPS - Various plant extracts,MSV000081082,mernst,Pieter Dorrestein,"May. 15, 2017, 4:13 AM",104,42373660,eudicotyledons,maXis
GNPS - Various 3D Models,MSV000081081,mernst,Pieter Dorrestein,"May. 15, 2017, 1:56 AM",27,356575,eudicotyledons,micrOTOF II
GNPS - SEED - Bode,MSV000081080,fevargas,"Etzold, Sabrina","May. 12, 2017, 9:14 AM","20,574",226523482,Rattus norvegicus,maXis
GNPS - SEED Grant - Sanjay,MSV000081077,fevargas,Kevin Bush,"May. 11, 2017, 1:47 PM",510,15439731,Rattus norvegicus,Q Exactive
GNPS - SEED Grant - Leptospira - Media and Growth Test,MSV000081068,fevargas,Karly Nisson,"May. 9, 2017, 4:49 PM",57,1206248,Leptospira,Q Exactive
GNPS - Corn Time Laps II,MSV000081067,daniel,Pieter Dorrestein,"May. 9, 2017, 4:01 PM",513,18441764,#NAME?,Q-Exactive
GNPS - Evolved E. coli I,MSV000081065,daniel,Nediljko Budisa,"May. 8, 2017, 11:55 AM",83,16727263,Escherichia coli,Q-Exactive
GNPS - Methylobacter Natural Product Discovery,MSV000081064,daniel,Aaron Puri,"May. 8, 2017, 10:54 AM",172,9237423,Methylobacter tundripaludum,Q-Exactive
GNPS - Xenorhabdus_Photorhabdus_AKBode_GoetheUni,MSV000081063,sniperwolff,#NAME?,"May. 8, 2017, 6:01 AM",257,84250805,#NAME?,impact
GNPS - Primary human fibroblasts lipidome response to an icMERS coronavirus,MSV000081050,alchemistmatt,#NAME?,"Apr. 29, 2017, 8:37 PM",302,15585728,Homo sapiens,LTQ Orbitrap Velos
GNPS - Human Calu-3 cell lipidome response to H1N1,MSV000081049,alchemistmatt,#NAME?,"Apr. 29, 2017, 8:35 PM",362,29051145,Homo sapiens,LTQ Orbitrap Velos
GNPS - Mouse cortex lipidome response to West Nile Virus,MSV000081048,alchemistmatt,#NAME?,"Apr. 29, 2017, 8:32 PM",362,28243439,Mus musculus,LTQ Orbitrap Velos
GNPS - Human Calu-3 cell lipidome response to an icMERS coronavirus,MSV000081045,alchemistmatt,#NAME?,"Apr. 29, 2017, 8:24 PM",944,53735459,Homo sapiens,LTQ Orbitrap Velos
GNPS - Primary human microvascular endothelial cells metabolome response to an icMERS coronavirus,MSV000081044,alchemistmatt,#NAME?,"Apr. 29, 2017, 8:18 PM",301,129316,Homo sapiens,GC-MS
GNPS - Primary human fibroblasts metabolome response to an icMERS coronavirus,MSV000081043,alchemistmatt,#NAME?,"Apr. 29, 2017, 8:16 PM",301,148627,Homo sapiens,GC-MS
GNPS - Scottish Ale Beer fragmentation data used for substructure mining with MS2LDA,MSV000081040,jjjvanderhooft,Justin van der Hooft,"Apr. 29, 2017, 10:17 AM",24,1495948,#NAME?,Q Exactive
MetaboLights MTBLS293 - GNPS Metabolites from surface seawater collected in Narragansett Bay,MSV000081039,rsilva,Longnecker,"Apr. 28, 2017, 5:26 PM",61,4777404,sea water,TSQ Vantage (Thermo Scientific)
MetaboLights MTBLS286 - GNPS Identification of Conserved and Diverse Metabolic Shifts during Rice Grain Development (LC-MS pos assay),MSV000081038,rsilva,Jianxin,"Apr. 28, 2017, 2:44 PM",250,8730955,Oryza sativa,6540 Q-TOF LC/MS (Agilent)
MetaboLights MTBLS214 - GNPS Global Metabonomic and Proteomic Analysis of Human Conjunctival Epithelial Cells (IOBA-NHC) in Response to Hyperosmotic Stress,MSV000081036,rsilva,Zhou,"Apr. 28, 2017, 1:48 PM",102,3455180,Homo sapiens,TripleTOF 5600 (AB Sciex)
MetaboLights MTBLS72 - GNPS Plasma Lipidomics for the Identification of Anticedent Memory Impairment,MSV000081035,rsilva,Federoff,"Apr. 28, 2017, 1:46 PM","67,591",50732592,Homo sapiens,UPLC-TQ-S (Biocrates analysis)
MetaboLights MTBLS178 - GNPS The correlation of gut microbiota and serum metabolites with Sasang constitution,MSV000081032,rsilva,Nam,"Apr. 28, 2017, 10:32 AM","2,894",4460957,Homo sapiens,SYNAPT HDMS (Waters)
"MetaboLights MTBLS155 - GNPS Release of Ecologically Relevant Metabolites by the Cyanobacterium, Synechococcus elongatus CCMP 1631",MSV000081031,rsilva,Fiore,"Apr. 28, 2017, 10:09 AM",103,9745369,Synechococcus elongatus,Thermo Scientific LTQ FT Ultra
MetaboLights MTBLS144 - GNPS Dissolved organic matter produced by Thalassiosira pseudonana,MSV000081030,rsilva,Longnecker,"Apr. 28, 2017, 10:08 AM",82,7611442,Thalassiosira pseudonana,Thermo Scientific LTQ FT Ultra
MetaboLights MTBLS110 - GNPS A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit. (beta-carotene),MSV000081029,rsilva,Van Meulebroek,"Apr. 28, 2017, 10:08 AM",43,1720319,Solanum lycopersicum,Exactive (Thermo Scientific)
MetaboLights MTBLS111 - GNPS A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit. (Lycopene metabolism),MSV000081028,rsilva,Van Meulebroek,"Apr. 28, 2017, 10:08 AM",78,2179394,Solanum lycopersicum,Exactive (Thermo Scientific)
MetaboLights MTBLS108 - GNPS A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit. (Lutein Metabolism),MSV000081027,rsilva,Van Meulebroek,"Apr. 28, 2017, 10:07 AM",42,1755898,Solanum lycopersicum,Exactive (Thermo Scientific)
MetaboLights MTBLS109 - GNPS A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit. (alpha-carotene metabolism),MSV000081026,rsilva,Van Meulebroek,"Apr. 28, 2017, 10:07 AM",42,1740104,Solanum lycopersicum,Exactive (Thermo Scientific)
MetaboLights MTBLS107 - GNPS A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit. (Zeaxanthin metabolism),MSV000081025,rsilva,Van Meulebroek,"Apr. 28, 2017, 8:37 AM",44,1713478,Solanum lycopersicum,Exactive (Thermo Scientific)
MetaboLights MTBLS307 - GNPS Molecular networking coupled to high-resolution mass spectrometry fragmentation reveals a multitude of urinary antihypertensive drug metabolites,MSV000081022,rsilva,van der Hooft,"Apr. 27, 2017, 11:50 AM",449,25785106,blank,Thermo Q Exactive (Thermo Scientific)
MetaboLights MTBLS61 - GNPS LC-MS metabolic profiling of mouse plasma and cell culture medium in relation to ABCC6 expression,MSV000081009,rsilva,van de Wetering,"Apr. 26, 2017, 2:21 PM",144,2986780,Mus musculus,LTQ Orbitrap Discovery (Thermo Scientific)
MetaboLights MTBLS20 - GNPS Annotation of the human adult urinary metabolome and metabolite identification using ultra high performance liquid chromatography coupled to a LTQ-Orbitrap mass spectrometer,MSV000081008,rsilva,Junot,"Apr. 26, 2017, 2:18 PM",472,6759807,Homo sapiens,LTQ Orbitrap Discovery (Thermo Scientific)
GNPS - SEED Grant - Leptospira extraction optimization,MSV000081005,fevargas,Karly Nisson,"Apr. 25, 2017, 5:12 PM",552,3574212,Leptospira,maXis
GNPS-Chagas seed grant fecal samples_Apr20 2017,MSV000080976,lamccall,Laura-Isobel McCall,"Apr. 21, 2017, 1:35 PM","21,228",147602391,#NAME?,impact
GNPS - Methanobacter - Natural Product screen,MSV000080974,daniel,Aaron Puri,"Apr. 20, 2017, 9:44 PM",44,1727341,Methanobacterium,Q-Exactive
GNPS Lipidomics of Orientia/Rickettsia - Non polar extracts,MSV000080970,ThomasPouplin,Thomas POUPLIN,"Apr. 20, 2017, 12:08 AM",42,63672123,#NAME?,TripleTOF 5600
GNPS Euphorbia pithyusa (plant) extract and fractions,MSV000080965,Esposito,"David Touboul
Marc Litaudon","Apr. 18, 2017, 2:05 PM",17,815155,Euphorbia pithyusa,6520 Quadrupole Time-of-Flight LC/MS
"MetaboLights MTBLS88 - GNPS Unexpected similarities between the Schizosaccharomyces and human blood metabolomes, and novel human metabolites (Blood plasma and RBC fractions)",MSV000080963,rsilva,Chaleckis,"Apr. 17, 2017, 4:18 PM",86,5329437,Homo sapiens,LTQ Orbitrap Classic (Thermo Scientific)
"MetaboLights MTBLS87 - GNPS Unexpected similarities between the Schizosaccharomyces and human blood metabolomes, and novel human metabolites (Blood fraction)",MSV000080962,rsilva,Chaleckis,"Apr. 17, 2017, 12:38 PM",101,7462112,Homo sapiens,LTQ Orbitrap Classic (Thermo Scientific)
GNPS - MassFuser evaluation - NIH and NIST datasets,MSV000080961,lfnothias,"Pieter Dorrestein
Theodore Alexandrov","Apr. 17, 2017, 11:53 AM",159,31529598,#NAME?,Q-Exactive plus
MetaboLights MTBLS372 - GNPS Metabolomic profiling of Fraxinus excelsior genotypes tolerant or susceptible to ash dieback disease reveals changes in iridoid glycosides,MSV000080960,rsilva,Sambles,"Apr. 17, 2017, 8:22 AM",208,17510873,Fraxinus excelsior,6520 Q-TOF LC/MS (Agilent)
MetaboLights MTBLS36 - GNPS Metabolic differences in ripening of Solanum lycopersicum 'Ailsa Craig' and three monogenic mutants,MSV000080958,rsilva,Beisken,"Apr. 16, 2017, 5:48 PM","1,339",205276934,Solanum lycopersicum,LTQ Orbitrap Velos (Thermo Scientific)
MetaboLights MTBLS354 - GNPS Lipid metabolites as potential diagnostic and prognostic biomarkers for acute community acquired pneumonia,MSV000080957,rsilva,Kwok-Yung,"Apr. 16, 2017, 12:25 PM","1,443",138984083,Homo sapiens,6540 Q-TOF LC/MS (Agilent)
MetaboLights MTBLS335 - GNPS Illuminating a plantês tissue-specific metabolic diversity using computational metabolomics and information theory,MSV000080956,rsilva,Li,"Apr. 15, 2017, 5:09 PM",455,12254444,Nicotiana attenuata,micrOTOF-Q II ESI-Qq-TOF (Bruker)
"MetaboLights MTBLS267 - GNPS Individual variability in human blood metabolites identifies age-related differences (30 persons, RBC data).",MSV000080953,rsilva,Chaleckis,"Apr. 15, 2017, 4:04 PM",188,7952080,Homo sapiens,LTQ Orbitrap Classic (Thermo Scientific)
"MetaboLights MTBLS266 - GNPS Individual variability in human blood metabolites identifies age-related differences (30 persons, plasma data).",MSV000080952,rsilva,Chaleckis,"Apr. 15, 2017, 3:56 PM",188,7506391,Homo sapiens,LTQ Orbitrap Classic (Thermo Scientific)
"MetaboLights MTBLS265 - GNPS Individual variability in human blood metabolites identifies age-related differences (30 persons, whole blood data).",MSV000080951,rsilva,Chaleckis,"Apr. 15, 2017, 3:45 PM",188,7767744,Homo sapiens,LTQ Orbitrap Classic (Thermo Scientific)
MetaboLights MTBLS264 - GNPS Individual variability in human blood metabolites identifies age-related differences - constant blood metabolite levels during 24h in 4 individuals.,MSV000080950,rsilva,Chaleckis,"Apr. 15, 2017, 3:32 PM",296,10651715,Homo sapiens,LTQ Orbitrap Classic (Thermo Scientific)
"MetaboLights MTBLS263 - GNPS Individual variability in human blood metabolites identifies age-related differences - determination of coefficients of variation for each metabolite (3 injections of same sample, 3 independent sample preparations).",MSV000080949,rsilva,Chaleckis,"Apr. 15, 2017, 3:24 PM",44,1326735,Homo sapiens,LTQ Orbitrap Classic (Thermo Scientific)
MetaboLights MTBLS243 - GNPS Collagen induced arthritis in dba/1j mice associates with oxylipin changes in plasma,MSV000080948,rsilva,He,"Apr. 15, 2017, 3:12 PM",100,709086,Mus musculus,6490 Triple Quadrupole LC/MS (Agilent)
MetaboLights MTBLS213 - GNPS geoRge: A Computational Tool To Detect the Presence of Stable Isotope Labeling in LC/MS-Based Untargeted Metabolomics.,MSV000080947,rsilva,Capellades,"Apr. 15, 2017, 2:59 PM",43,1175769,Homo sapiens,6540 Q-TOF LC/MS (Agilent)
MetaboLights MTBLS203 - GNPS Navigating natural variation in herbivory-induced secondary metabolism in coyote tobacco populations using MS/MS structural analysis,MSV000080946,rsilva,Li,"Apr. 15, 2017, 2:55 PM",156,4995404,Nicotiana attenuata,micrOTOF-Q II ESI-Qq-TOF (Bruker)
MetaboLights MTBLS17 - GNPS Utilization of Metabolomics to Identify Serum Biomarkers for Hepatocellular Carcinoma in Patients with Liver Cirrhosis,MSV000080944,rsilva,Ressom,"Apr. 15, 2017, 10:56 AM","3,151",88258422,Homo sapiens,UPLC Q-TOF Premier (Waters)
MetaboLights MTBLS146 - GNPS Pregnancy-Induced Metabolic Phenotype Variations in Maternal Plasma,MSV000080933,rsilva,Luan,"Apr. 14, 2017, 5:02 PM","1,530",32358386,Homo sapiens,LTQ Orbitrap Velos (Thermo Scientific)
"MetaboLights MTBLS127 - GNPS Resveratrol metabolism in HepG2 (human hepatocytes), HaCaT (human keratinocytes), and C2C12 (mouse myoblasts)",MSV000080931,rsilva,Murakami,"Apr. 14, 2017, 3:44 PM",171,12056077,Homo sapiens,LTQ Orbitrap Classic (Thermo Scientific)
MetaboLights MTBLS126 - GNPS Absorption efficiency of RESV through mouse skin using 3 bases in different tissues,MSV000080930,rsilva,Murakami,"Apr. 14, 2017, 3:25 PM",441,48182826,Mus musculus,LTQ Orbitrap Classic (Thermo Scientific)
GNPS SFE associated files,MSV000080929,ZipperDown,"David Touboul
Florent Olivon","Apr. 14, 2017, 2:21 PM",14,399137,Stillingia lineata,6520 Quadrupole Time-of-Flight LC/MS
MetaboLights MTBLS125 - GNPS Distribution of RESV and its metabolite peaks in mouse tissues after oral and skin administration,MSV000080928,rsilva,Murakami,"Apr. 14, 2017, 12:44 PM",369,35840398,Mus musculus,LTQ Orbitrap Classic (Thermo Scientific)
MetaboLights MTBLS120 - GNPS Metabolomic Discrimination of Near Isogenic Low and High Phytate Soybean Seeds,MSV000080927,rsilva,Helm,"Apr. 14, 2017, 12:43 PM",445,71762775,Glycine max,Synapt G2-S pos
GNPS - Cave Bacteria_Metabolic_Profiling,MSV000080922,fevargas,Kit Pogliano,"Apr. 13, 2017, 4:45 PM","14,842",282081211,environmental samples <Bacillariophyta>,maXis
GNPS_Steatohepatitis progresses to cancer via immunosuppression of HCC directed CD8+ T cells,MSV000080918,aaksenov,Karin,"Apr. 13, 2017, 9:42 AM",533,23472676,Mus musculus,maXis
MetaboLights MTBLS117 - GNPS A Metabolic Profiling Strategy for the Dissection of Plant Defense against Fungal Pathogens (DI-MS assays),MSV000080916,rsilva,Jabaji,"Apr. 12, 2017, 11:47 AM",90,299152,Glycine max/NCBITAXON:Rhizoctonia solani,LTQ Classic (Thermo Scientific)
GNPS - Kulomo-related molecule 94NPD1,MSV000080912,fevargas,Marcy Balunas,"Apr. 12, 2017, 10:22 AM",23,801309,Philinopsis speciosa,Q Exactive
GNPS - EMP_500_Metabolomics,MSV000080905,fevargas,Luke Thompson,"Apr. 11, 2017, 3:11 PM","1,057",38874057,environmental samples <Bacillariophyta>,Q Exactive
GNPS_UCSD_U01_iARM_Set01_COM02_RPMI_Metabolomics_Targeted_HILIC_Amide,MSV000080903,mjmeehan,Bernhard Palsson,"Apr. 10, 2017, 3:52 AM","1,261",45350808,Staphylococcus aureus,maXis
GNPS_UCSD_U01_iARM_Set01_COM02_CA-MHB_Metabolomics_Targeted_HILIC_Amide,MSV000080902,mjmeehan,Bernhard Palsson,"Apr. 10, 2017, 3:43 AM",719,28736425,Staphylococcus aureus,maXis
GNPS_UCSD_U01_iARM_Set01_COM01_RPMI_Metabolomics_Untargeted_RP-C18,MSV000080899,mjmeehan,Bernhard Palsson,"Apr. 10, 2017, 1:17 AM","1,346",5532358,Staphylococcus aureus,maXis
GNPS_UCSD_U01_iARM_Set01_COM01_CA-MHB_Metabolomics_Untargeted_RP-C18,MSV000080898,mjmeehan,Bernhard Palsson,"Apr. 10, 2017, 1:14 AM","1,369",4463028,Staphylococcus aureus,maXis
GNPS_UCSD_U01_Nafcillin_Stability_Assay _RPMI_Metabolomics_Untargeted_RP-C18,MSV000080897,mjmeehan,Bernhard Palsson,"Apr. 10, 2017, 1:09 AM",316,3425713,Staphylococcus aureus,maXis
GNPS_UCSD_U01_Nafcillin_Stability_Assay_CA-MHB_Metabolomics_Untargeted_RP-C18,MSV000080896,mjmeehan,Bernhard Palsson,"Apr. 10, 2017, 1:05 AM",317,1822761,Staphylococcus aureus,maXis 4G
GNPS_UCSD_U01_iARM_Preliminary_Metabolomics_Untargeted_RP-C18,MSV000080895,mjmeehan,Bernhard Palsson,"Apr. 10, 2017, 1:02 AM","1,286",11440852,Staphylococcus aureus,maxis
GNPS_AmericanGut3K_dataset,MSV000080673,alan_jarmusch,#NAME?,"Mar. 23, 2017, 5:55 PM","5,761",269513177,Homo sapiens,maXis
GNPS Cross Sectional CF Sputum Samples,MSV000080655,quinnr,Pieter Dorrestein,"Mar. 20, 2017, 8:56 AM","15,369",131881912,Homo sapiens,maXis
GNPS automated submission test using user uploaded data. It is importat to tag the title with GNPS,MSV000080649,rsilva,Dorrestein,"Mar. 17, 2017, 2:51 PM",6,525614,Porites,maXis
GNPS Coral Interface Metabolomics,MSV000080632,quinnr,Rohwer,"Mar. 14, 2017, 4:06 PM","8,077",75862038,Porites,maXis
GNPS - ONR_Turek_MouseStudy,MSV000080630,fevargas,Martha Hotz Vitaterna,"Mar. 14, 2017, 10:19 AM",269,7963451,C57/BL6N (blank 6 mice),Q Exactive
GNPS - ONR_Lowry_MouseStudy,MSV000080629,fevargas,Christopher A. Lowry,"Mar. 14, 2017, 10:12 AM",894,24589682,C57BL/6N MIce (black 6 mice),Q Exactive
GNPS - ONR_Fleshner_RatStudy,MSV000080628,fevargas,Monika R Fleshner,"Mar. 14, 2017, 9:49 AM",313,10057642,Rattus norvegicus,Q Exactive
GNPS - ONR_Wright_HumanStudy,MSV000080627,fevargas,Kenneth P Wright,"Mar. 14, 2017, 9:30 AM",531,17929688,Homo sapiens,Q Exactive
GNPS Standard extract sample - DDAparameters,MSV000080626,ZipperDown,#NAME?,"Mar. 14, 2017, 9:03 AM",719,45796835,Plant extract,6540 Quadrupole Time-of-Flight LC/MS (Agilent instrument model)
GNPS Pesticide standards on the Q-Exactive @14k Resolution in positive ionisation mode. Collected for the EU project 3D-Plant2Cells,MSV000080616,lfnothias,#NAME?,"Mar. 8, 2017, 7:55 PM",24,1084894,Standards,Q Exactive Plus
GNPS Lipid standards and lipid mixtures,MSV000080612,lfnothias,Pieter Dorrestein,"Mar. 8, 2017, 11:54 AM",144,4967186,Homo sapiens,Maxis II HD
GNPS Eicosanoid lipid standards collected on the Maxis HD qTOF in positive and negative ionisation mode,MSV000080611,lfnothias,#NAME?,"Mar. 8, 2017, 11:46 AM",98,3477867,Homo sapiens,Maxis II HD
GNPS - Marine Mammal Paper,MSV000080606,l2sanchez,Roger Linington,"Mar. 7, 2017, 12:51 PM",90,1083864,phocena phocena,LTQ-FT
GNPS Pesticide standards on the qTOF Maxis II HD in positive and negative ionisation mode. Collected for the EU project 3D-Plant2Cells,MSV000080605,lfnothias,#NAME?,"Mar. 6, 2017, 10:23 PM",46,1234915,Standards,maXis
GNPS Pesticide standards on the Q-Exactive in positive and negative ionisation mode Collected for the EU project 3D-Plant2Cells,MSV000080604,lfnothias,#NAME?,"Mar. 6, 2017, 10:14 PM",46,2673504,Standards,Q Exactive
GNPS 3D Coral Metabolomics,MSV000080597,quinnr,Rohwer,"Mar. 3, 2017, 2:30 PM","8,077",75862064,Porites,maXis
GNPS - Turck - Mouse Sleep Disruption Study and Intervation,MSV000080574,fevargas,Chris Turck,"Feb. 27, 2017, 4:44 AM",954,21343882,mouse,Q Exactive
"GNPS ARMS Plates throughout Pacific, bulk sessile material from coral reefs",MSV000080572,quinnr,Quinn,"Feb. 24, 2017, 2:18 PM","4,252",38970470,coral,maXis
GNPS - DOM Scripps Pier - 02162016,MSV000080562,daniel,Lihini Aluwihare,"Feb. 22, 2017, 11:15 AM",191,17485470,environmental samples <Bacillariophyta>,Q-Exactive
GNPS - Amycolatopsis Extracts,MSV000080559,daniel,Pieter Dorrestein,"Feb. 21, 2017, 3:29 PM",95,1674777,Amycolatopsis,Q-Exactive
GNPS_Steatohepatitis progresses to cancer via immunosuppression of HCC,MSV000080558,aaksenov,Karin,"Feb. 21, 2017, 12:04 PM","1,063",47116161,Mus musculus,maXis
GNPS_ref_Personal care products_Shaving Cream Avene,MSV000080557,abouslimani,Pieter Dorrestein,"Feb. 19, 2017, 3:49 PM",6,421359,environmental samples <Bacillariophyta>,maXis
GNPS_ref_Personal care products_Shaving Cream,MSV000080556,abouslimani,Pieter Dorrestein,"Feb. 19, 2017, 11:56 AM",6,392870,environmental samples <Bacillariophyta>,maXis
GNPS - NIH NPAC ACONN Natural Products 2179 Standards analyzed by untargeted LC-MS/MS in negative ion mode part 2,MSV000080555,lfnothias,#NAME?,"Feb. 18, 2017, 11:33 AM",618,27182226,Natural products isolated from various species,Maxis II HD Bruker q-TOF
GNPS - NIH NPAC ACONN Natural Products 2179 Standards analyzed by untargeted LC-MS/MS in positive ion mode part 2,MSV000080554,lfnothias,#NAME?,"Feb. 18, 2017, 11:26 AM",618,20239796,Natural products isolated from various species,Maxis II HD Bruker q-TOF
GNPS - Rosmarinus officinalis - Rosemary plant - 3D molecular cartography,MSV000080553,lfnothias,Pieter Dorrestein,"Feb. 16, 2017, 10:13 PM",113,2993148,Rosmarinus officinalis,Maxis II qTOF
GNPS Fusarium,MSV000080540,pwiemann,Wiemann,"Feb. 9, 2017, 11:48 AM",54,2746710,"Fusarium fujikuroi
Ralstonia solanacearum",Q Exactive
GNPS - NIST 1950 metabolite standard serial delution (LC-MS/MS),MSV000080533,daniel,Pieter Dorrestein,"Feb. 7, 2017, 5:49 PM",90,11795562,Homo sapiens,Q-Exactive
GNPS - Various plant parts,MSV000080518,lfnothias,Pieter Dorrestein,"Jan. 30, 2017, 10:28 AM",382,53666238,eudicotyledons,Maxis II q-TOF
GNPS - Hawaii DOM December 2016,MSV000080507,daniel,Lihini Aluwihare,"Jan. 26, 2017, 6:19 PM","1,205",158970459,environmental samples <Bacillariophyta>,Q-Exactive
GNPS Antiviral Euphorbia dendroides extract and fractions (plants),MSV000080502,lfnothias,Litaudon / Paolini,"Jan. 24, 2017, 1:25 PM",43,2005076,Euphorbia dendroides,LTQ Orbitrap XL
GNPS Effect of doxorubicin on P-glycoprotein in Candida albicans,MSV000080501,lfnothias,Pieter Dorrestein,"Jan. 24, 2017, 1:21 PM","1,143",6806477,Candida albicans,Maxis II HD Bruker QTOF
GNPS - NIH NGC Natural Products 2406 Standards analyzed by untargeted LC-MS/MS in negative ionization mode - part 1,MSV000080500,lfnothias,"Pieter Dorrestein
Ajit Jadhav","Jan. 24, 2017, 1:19 PM",706,7527535,Natural products isolated from various species,Maxis II HD Bruker q-TOF
GNPS - NIH NGC Natural Products 2406 Standards analyzed by untargeted LC-MS/MS in positive ionization mode - part 1,MSV000080492,lfnothias,"Pieter Dorrestein
Ajit Jadhav","Jan. 23, 2017, 12:20 PM",713,7432669,Natural products isolated from various species,Maxis II HD Bruker q-TOF
GNPS Filtering window from 0.5 to 10 Da - NIH natural products plate 15,MSV000080490,lfnothias,Pieter Dorrestein,"Jan. 23, 2017, 11:46 AM",86,4220426,Natural products isolated from various species,Maxis II HD Bruker q-TOF
GNPS_ref_Aveeno Sunscreen extract,MSV000080473,abouslimani,Pieter Dorrestein,"Jan. 13, 2017, 6:27 PM",6,400406,Homo sapiens,maXis
